LBC	13	26.00	23.47	23.41	27.12	0.01	0.00
LBC	14	25.95	23.42	23.45	27.18	0.00	0.00
LBC	15	25.92	23.48	23.54	27.06	0.00	0.00
LBC	16	25.89	23.52	23.54	27.05	0.00	0.00
LBC	17	26.02	23.44	23.46	27.08	0.00	0.00
LBC	18	25.90	23.64	23.53	26.93	0.00	0.00
LBC	19	25.89	23.51	23.49	27.10	0.00	0.00
LBC	20	25.88	23.57	23.47	27.09	0.00	0.00
LBC	21	25.87	23.52	23.59	27.02	0.00	0.00
LBC	22	25.82	23.52	23.58	27.08	0.00	0.00
LBC	23	25.96	23.47	23.49	27.09	0.00	0.00
LBC	24	25.77	23.57	23.59	27.07	0.01	0.00
LBC	25	25.81	23.58	23.45	27.17	0.01	0.00
LBC	26	25.80	23.61	23.46	27.13	0.00	0.00
LBC	27	25.75	23.58	23.60	27.07	0.00	0.00
LBC	28	25.76	23.62	23.54	27.08	0.00	0.00
LBC	29	25.84	23.46	23.56	27.13	0.00	0.00
LBC	30	25.63	23.66	23.65	27.07	0.00	0.00
LBC	31	25.83	23.54	23.55	27.08	0.00	0.00
LBC	32	25.79	23.56	23.52	27.14	0.00	0.00
LBC	33	25.65	23.57	23.65	27.14	0.00	0.00
LBC	34	25.74	23.50	23.61	27.15	0.00	0.00
LBC	35	25.69	23.60	23.55	27.16	0.01	0.00
LBC	36	25.61	23.70	23.63	27.06	0.01	0.00
LBC	37	25.64	23.61	23.61	27.14	0.00	0.00
LBC	38	25.62	23.56	23.57	27.25	0.00	0.00
LBC	39	25.56	23.65	23.63	27.16	0.00	0.00
LBC	40	25.53	23.63	23.64	27.20	0.00	0.00
LBC	41	25.64	23.59	23.56	27.21	0.00	0.00
LBC	42	25.57	23.64	23.64	27.15	0.00	0.00
LBC	43	25.58	23.55	23.60	27.27	0.00	0.00
LBC	44	25.58	23.59	23.63	27.20	0.00	0.00
LBC	45	25.57	23.66	23.57	27.20	0.00	0.00
LBC	46	25.56	23.73	23.58	27.13	0.00	0.00
LBC	47	25.56	23.67	23.49	27.27	0.00	0.00
LBC	48	25.56	23.63	23.60	27.21	0.00	0.00
LBC	49	25.56	23.59	23.60	27.25	0.00	0.00
LBC	50	25.51	23.59	23.57	27.33	0.00	0.00
LBC	51	25.48	23.68	23.63	27.21	0.00	0.00
LBC	52	25.56	23.63	23.61	27.20	0.00	0.00
LBC	53	25.57	23.59	23.59	27.25	0.00	0.00
LBC	54	25.54	23.62	23.65	27.20	0.00	0.00
LBC	55	25.56	23.58	23.66	27.20	0.00	0.00
LBC	56	25.53	23.53	23.61	27.33	0.00	0.00
LBC	57	25.49	23.59	23.66	27.26	0.00	0.00
LBC	58	25.57	23.63	23.60	27.20	0.00	0.00
LBC	59	25.62	23.54	23.55	27.30	0.00	0.00
LBC	60	25.50	23.62	23.66	27.23	0.00	0.00
LBC	61	25.55	23.61	23.67	27.17	0.00	0.00
LBC	62	25.61	23.52	23.59	27.29	0.00	0.00
LBC	63	25.45	23.63	23.61	27.31	0.00	0.00
LBC	64	25.47	23.55	23.66	27.32	0.00	0.00
LBC	65	25.53	23.62	23.63	27.21	0.00	0.00
LBC	66	25.51	23.57	23.66	27.27	0.00	0.00
LBC	67	25.56	23.56	23.63	27.26	0.01	0.00
LBC	68	25.54	23.53	23.67	27.26	0.01	0.00
LBC	69	25.55	23.59	23.66	27.21	0.00	0.00
LBC	70	25.47	23.63	23.62	27.28	0.00	0.00
LBC	71	25.53	23.57	23.53	27.37	0.00	0.00
LBC	72	25.50	23.60	23.58	27.32	0.00	0.00
LBC	73	25.49	23.58	23.68	27.25	0.02	0.00
LBC	74	25.60	23.58	23.57	27.24	0.00	0.00
LBC	75	25.55	23.56	23.64	27.25	0.00	0.00
LBC	76	25.54	23.59	23.59	27.29	0.02	0.00
LBC	77	25.59	23.54	23.59	27.28	0.00	0.00
LBC	78	25.54	23.55	23.65	27.25	0.00	0.00
LBC	79	25.67	23.52	23.59	27.22	0.00	0.00
LBC	80	25.58	23.60	23.60	27.21	0.00	0.00
LBC	81	25.58	23.57	23.62	27.23	0.00	0.00
LBC	82	25.63	23.56	23.61	27.20	0.00	0.00
LBC	83	25.62	23.55	23.54	27.29	0.00	0.00
LBC	84	25.59	23.56	23.61	27.24	0.00	0.00
LBC	85	25.60	23.57	23.56	27.28	0.00	0.00
LBC	86	25.64	23.55	23.57	27.24	0.00	0.00
LBC	87	25.60	23.59	23.58	27.22	0.00	0.00
LBC	88	25.66	23.56	23.52	27.25	0.00	0.00
# ACGT raw counters for last fragments. Use `grep ^LTC | cut -f 2-` to extract this part. The columns are: A,C,G,T,N base counters
LTC	22082426	20253095	20261413	23340039	1356
# Insert sizes. Use `grep ^IS | cut -f 2-` to extract this part. The columns are: insert size, pairs total, inward oriented pairs, outward oriented pairs, other pairs
IS	0	2281	550	1400	331
IS	1	0	0	0	0
IS	2	0	0	0	0
IS	3	0	0	0	0
IS	4	0	0	0	0
IS	5	0	0	0	0
IS	6	0	0	0	0
IS	7	0	0	0	0
IS	8	0	0	0	0
IS	9	0	0	0	0
IS	10	0	0	0	0
IS	11	0	0	0	0
IS	12	0	0	0	0
IS	13	0	0	0	0
IS	14	0	0	0	0
IS	15	0	0	0	0
IS	16	0	0	0	0
IS	17	0	0	0	0
IS	18	0	0	0	0
IS	19	0	0	0	0
IS	20	0	0	0	0
IS	21	0	0	0	0
IS	22	0	0	0	0
IS	23	0	0	0	0
IS	24	0	0	0	0
IS	25	0	0	0	0
IS	26	0	0	0	0
IS	27	0	0	0	0
IS	28	0	0	0	0
IS	29	0	0	0	0
IS	30	0	0	0	0
IS	31	0	0	0	0
IS	32	0	0	0	0
IS	33	0	0	0	0
IS	34	0	0	0	0
IS	35	0	0	0	0
IS	36	0	0	0	0
IS	37	0	0	0	0
IS	38	0	0	0	0
IS	39	1	1	0	0
IS	40	0	0	0	0
IS	41	0	0	0	0
IS	42	0	0	0	0
IS	43	0	0	0	0
IS	44	0	0	0	0
IS	45	0	0	0	0
IS	46	0	0	0	0
IS	47	0	0	0	0
IS	48	0	0	0	0
IS	49	1	1	0	0
IS	50	0	0	0	0
IS	51	0	0	0	0
IS	52	1	1	0	0
IS	53	0	0	0	0
IS	54	0	0	0	0
IS	55	2	2	0	0
IS	56	0	0	0	0
IS	57	0	0	0	0
IS	58	0	0	0	0
IS	59	0	0	0	0
IS	60	0	0	0	0
IS	61	0	0	0	0
IS	62	0	0	0	0
IS	63	1	1	0	0
IS	64	1	1	0	0
IS	65	0	0	0	0
IS	66	0	0	0	0
IS	67	1	1	0	0
IS	68	3	3	0	0
IS	69	1	1	0	0
IS	70	1	1	0	0
IS	71	1	1	0	0
IS	72	0	0	0	0
IS	73	3	2	1	0
IS	74	4	3	1	0
IS	75	5	4	1	0
IS	76	5	5	0	0
IS	77	8	7	1	0
IS	78	7	5	2	0
IS	79	11	10	1	0
IS	80	11	8	3	0
IS	81	8	6	2	0
IS	82	11	11	0	0
IS	83	13	12	1	0
IS	84	13	9	4	0
IS	85	17	9	8	0
IS	86	39	24	15	0
IS	87	64	35	29	0
IS	88	1528	786	742	0
IS	89	2429	1474	955	0
IS	90	2460	1670	790	0
IS	91	2603	1819	784	0
IS	92	2711	1992	719	0
IS	93	2829	2127	702	0
IS	94	3015	2307	708	0
IS	95	3071	2514	557	0
IS	96	3150	2733	417	0
IS	97	3113	2824	289	0
IS	98	3241	3051	190	0
IS	99	3481	3345	136	0
IS	100	3567	3454	113	0
IS	101	3767	3715	52	0
IS	102	3945	3911	34	0
IS	103	4178	4156	22	0
IS	104	4319	4307	12	0
IS	105	4483	4472	11	0
IS	106	4829	4819	10	0
IS	107	5039	5034	5	0
IS	108	5209	5206	3	0
IS	109	5310	5308	2	0
IS	110	5651	5650	1	0
IS	111	5670	5670	0	0
IS	112	5896	5896	0	0
IS	113	6078	6078	0	0
IS	114	6372	6372	0	0
IS	115	6529	6529	0	0
IS	116	6620	6620	0	0
IS	117	6879	6879	0	0
IS	118	6786	6785	1	0
IS	119	7101	7101	0	0
IS	120	7166	7166	0	0
IS	121	7195	7195	0	0
IS	122	7310	7310	0	0
IS	123	7386	7386	0	0
IS	124	7539	7539	0	0
IS	125	7554	7554	0	0
IS	126	7545	7545	0	0
IS	127	7849	7849	0	0
IS	128	7744	7744	0	0
IS	129	7809	7809	0	0
IS	130	7764	7764	0	0
IS	131	7973	7973	0	0
IS	132	7893	7893	0	0
IS	133	8045	8045	0	0
IS	134	8168	8168	0	0
IS	135	8043	8043	0	0
IS	136	8024	8024	0	0
IS	137	8087	8086	1	0
IS	138	8042	8042	0	0
IS	139	7944	7944	0	0
IS	140	7959	7959	0	0
IS	141	7951	7951	0	0
IS	142	8072	8072	0	0
IS	143	7998	7998	0	0
IS	144	7939	7939	0	0
IS	145	7901	7901	0	0
IS	146	7984	7984	0	0
IS	147	7881	7881	0	0
IS	148	7698	7698	0	0
IS	149	7855	7855	0	0
IS	150	7810	7810	0	0
IS	151	7772	7772	0	0
IS	152	7679	7679	0	0
IS	153	7526	7526	0	0
IS	154	7565	7565	0	0
IS	155	7515	7514	1	0
IS	156	7516	7516	0	0
IS	157	7339	7339	0	0
IS	158	7453	7453	0	0
IS	159	7355	7355	0	0
IS	160	7374	7374	0	0
IS	161	7144	7144	0	0
IS	162	7123	7123	0	0
IS	163	6989	6989	0	0
IS	164	7053	7053	0	0
IS	165	7133	7133	0	0
IS	166	6965	6965	0	0
IS	167	6762	6762	0	0
IS	168	6774	6774	0	0
IS	169	6713	6713	0	0
IS	170	6726	6726	0	0
IS	171	6624	6624	0	0
IS	172	6500	6500	0	0
IS	173	6521	6521	0	0
IS	174	6371	6371	0	0
IS	175	6297	6297	0	0
IS	176	6269	6269	0	0
IS	177	6182	6182	0	0
IS	178	6116	6116	0	0
IS	179	6119	6119	0	0
IS	180	6095	6095	0	0
IS	181	6001	6001	0	0
IS	182	5807	5807	0	0
IS	183	5800	5800	0	0
IS	184	5787	5787	0	0
IS	185	5557	5557	0	0
IS	186	5591	5591	0	0
IS	187	5610	5610	0	0
IS	188	5488	5488	0	0
IS	189	5386	5386	0	0
IS	190	5274	5274	0	0
IS	191	5169	5169	0	0
IS	192	5185	5185	0	0
IS	193	5096	5096	0	0
IS	194	5131	5131	0	0
IS	195	4837	4837	0	0
IS	196	4892	4892	0	0
IS	197	4781	4781	0	0
IS	198	4799	4799	0	0
IS	199	4523	4523	0	0
IS	200	4684	4684	0	0
IS	201	4616	4616	0	0
IS	202	4484	4484	0	0
IS	203	4502	4502	0	0
IS	204	4348	4348	0	0
IS	205	4425	4425	0	0
IS	206	4298	4298	0	0
IS	207	4267	4267	0	0
IS	208	4095	4095	0	0
IS	209	4057	4057	0	0
IS	210	4093	4093	0	0
IS	211	4005	4005	0	0
IS	212	3859	3859	0	0
IS	213	3945	3945	0	0
IS	214	3747	3747	0	0
IS	215	3682	3682	0	0
IS	216	3741	3741	0	0
IS	217	3788	3788	0	0
IS	218	3556	3556	0	0
IS	219	3560	3560	0	0
IS	220	3328	3328	0	0
IS	221	3373	3373	0	0
IS	222	3248	3248	0	0
IS	223	3309	3309	0	0
IS	224	3305	3305	0	0
IS	225	3262	3262	0	0
IS	226	3163	3163	0	0
IS	227	3088	3088	0	0
IS	228	3093	3093	0	0
IS	229	3068	3068	0	0
IS	230	2960	2960	0	0
IS	231	2899	2899	0	0
IS	232	2935	2935	0	0
IS	233	2840	2840	0	0
IS	234	2833	2833	0	0
IS	235	2755	2755	0	0
IS	236	2710	2710	0	0
IS	237	2718	2718	0	0
IS	238	2591	2591	0	0
IS	239	2582	2582	0	0
IS	240	2582	2582	0	0
IS	241	2510	2510	0	0
IS	242	2406	2406	0	0
IS	243	2459	2459	0	0
IS	244	2514	2514	0	0
IS	245	2347	2347	0	0
IS	246	2305	2305	0	0
IS	247	2233	2233	0	0
IS	248	2280	2280	0	0
IS	249	2226	2226	0	0
IS	250	2176	2176	0	0
IS	251	2126	2126	0	0
IS	252	2053	2053	0	0
IS	253	2106	2106	0	0
IS	254	1997	1997	0	0
IS	255	2036	2036	0	0
IS	256	1968	1968	0	0
IS	257	1936	1936	0	0
IS	258	1902	1902	0	0
IS	259	1873	1873	0	0
IS	260	1818	1818	0	0
IS	261	1759	1759	0	0
IS	262	1766	1766	0	0
IS	263	1765	1765	0	0
IS	264	1759	1759	0	0
IS	265	1664	1664	0	0
IS	266	1631	1631	0	0
IS	267	1634	1634	0	0
IS	268	1608	1608	0	0
IS	269	1566	1566	0	0
IS	270	1493	1493	0	0
IS	271	1532	1532	0	0
IS	272	1482	1482	0	0
IS	273	1453	1453	0	0
IS	274	1482	1482	0	0
IS	275	1406	1406	0	0
IS	276	1464	1464	0	0
IS	277	1360	1360	0	0
IS	278	1361	1361	0	0
IS	279	1322	1322	0	0
IS	280	1260	1260	0	0
IS	281	1335	1335	0	0
IS	282	1251	1251	0	0
IS	283	1285	1285	0	0
IS	284	1232	1232	0	0
IS	285	1158	1158	0	0
IS	286	1184	1184	0	0
IS	287	1159	1159	0	0
IS	288	1144	1144	0	0
IS	289	1168	1168	0	0
IS	290	1097	1097	0	0
IS	291	1099	1099	0	0
IS	292	1080	1080	0	0
IS	293	1043	1043	0	0
IS	294	1012	1012	0	0
IS	295	1053	1053	0	0
IS	296	1048	1048	0	0
IS	297	966	966	0	0
IS	298	911	911	0	0
IS	299	936	936	0	0
IS	300	912	912	0	0
IS	301	911	911	0	0
IS	302	891	891	0	0
IS	303	883	883	0	0
IS	304	880	880	0	0
IS	305	860	860	0	0
IS	306	892	892	0	0
IS	307	797	797	0	0
IS	308	760	760	0	0
IS	309	787	787	0	0
IS	310	814	814	0	0
IS	311	768	768	0	0
IS	312	794	794	0	0
IS	313	700	700	0	0
IS	314	715	715	0	0
IS	315	718	718	0	0
IS	316	709	709	0	0
IS	317	687	687	0	0
IS	318	688	688	0	0
IS	319	647	647	0	0
IS	320	692	692	0	0
IS	321	617	617	0	0
IS	322	664	664	0	0
IS	323	593	593	0	0
IS	324	665	665	0	0
IS	325	604	604	0	0
IS	326	583	583	0	0
IS	327	613	613	0	0
IS	328	555	555	0	0
IS	329	540	540	0	0
IS	330	574	574	0	0
IS	331	575	575	0	0
IS	332	540	540	0	0
IS	333	541	541	0	0
IS	334	496	496	0	0
IS	335	522	522	0	0
IS	336	505	505	0	0
IS	337	482	482	0	0
IS	338	518	518	0	0
IS	339	492	492	0	0
IS	340	480	480	0	0
IS	341	442	442	0	0
IS	342	456	456	0	0
IS	343	462	462	0	0
IS	344	416	416	0	0
IS	345	426	426	0	0
IS	346	415	415	0	0
IS	347	387	387	0	0
IS	348	409	409	0	0
IS	349	373	373	0	0
IS	350	433	433	0	0
IS	351	380	380	0	0
IS	352	424	424	0	0
IS	353	377	377	0	0
IS	354	375	375	0	0
IS	355	347	347	0	0
IS	356	341	341	0	0
IS	357	325	325	0	0
IS	358	312	312	0	0
IS	359	328	328	0	0
IS	360	313	313	0	0
IS	361	299	299	0	0
IS	362	321	321	0	0
IS	363	310	310	0	0
IS	364	342	342	0	0
IS	365	301	301	0	0
IS	366	288	288	0	0
IS	367	298	298	0	0
IS	368	276	276	0	0
IS	369	266	266	0	0
IS	370	274	274	0	0
IS	371	269	269	0	0
IS	372	263	263	0	0
IS	373	238	238	0	0
IS	374	299	299	0	0
IS	375	240	240	0	0
IS	376	239	239	0	0
IS	377	249	249	0	0
IS	378	253	253	0	0
IS	379	234	234	0	0
IS	380	212	212	0	0
IS	381	213	213	0	0
IS	382	194	194	0	0
IS	383	209	209	0	0
IS	384	214	214	0	0
IS	385	223	223	0	0
IS	386	204	204	0	0
IS	387	242	242	0	0
IS	388	185	185	0	0
IS	389	197	197	0	0
IS	390	211	211	0	0
IS	391	190	190	0	0
IS	392	195	195	0	0
IS	393	176	176	0	0
IS	394	188	188	0	0
IS	395	160	160	0	0
IS	396	171	171	0	0
IS	397	173	173	0	0
IS	398	159	159	0	0
IS	399	178	178	0	0
IS	400	175	175	0	0
# Read lengths. Use `grep ^RL | cut -f 2-` to extract this part. The columns are: read length, count
RL	1	263
RL	2	229
RL	3	213
RL	4	203
RL	5	215
RL	6	187
RL	7	161
RL	8	196
RL	9	183
RL	10	226
RL	11	187
RL	12	224
RL	13	191
RL	14	214
RL	15	248
RL	16	200
RL	17	206
RL	18	258
RL	19	251
RL	20	238
RL	21	258
RL	22	318
RL	23	310
RL	24	325
RL	25	345
RL	26	357
RL	27	372
RL	28	349
RL	29	374
RL	30	400
RL	31	400
RL	32	430
RL	33	392
RL	34	487
RL	35	501
RL	36	493
RL	37	505
RL	38	573
RL	39	545
RL	40	558
RL	41	546
RL	42	589
RL	43	608
RL	44	611
RL	45	639
RL	46	633
RL	47	662
RL	48	655
RL	49	702
RL	50	672
RL	51	724
RL	52	756
RL	53	750
RL	54	756
RL	55	833
RL	56	853
RL	57	835
RL	58	885
RL	59	887
RL	60	860
RL	61	887
RL	62	953
RL	63	941
RL	64	1020
RL	65	1059
RL	66	1128
RL	67	1088
RL	68	1135
RL	69	1181
RL	70	1148
RL	71	1187
RL	72	1366
RL	73	1279
RL	74	1337
RL	75	1408
RL	76	1507
RL	77	1514
RL	78	1785
RL	79	1891
RL	80	2046
RL	81	2334
RL	82	2541
RL	83	2928
RL	84	3849
RL	85	5381
RL	86	9523
RL	87	23370
RL	88	1881523
# Read lengths - first fragments. Use `grep ^FRL | cut -f 2-` to extract this part. The columns are: read length, count
FRL	1	1
FRL	4	1
FRL	5	1
FRL	10	2
FRL	11	4
FRL	12	8
FRL	13	2
FRL	14	11
FRL	15	7
FRL	16	13
FRL	17	12
FRL	18	29
FRL	19	17
FRL	20	33
FRL	21	57
FRL	22	67
FRL	23	76
FRL	24	86
FRL	25	75
FRL	26	66
FRL	27	75
FRL	28	87
FRL	29	84
FRL	30	104
FRL	31	88
FRL	32	104
FRL	33	100
FRL	34	120
FRL	35	117
FRL	36	104
FRL	37	135
FRL	38	144
FRL	39	135
FRL	40	140
FRL	41	137
FRL	42	129
FRL	43	158
FRL	44	179
FRL	45	171
FRL	46	175
FRL	47	183
FRL	48	178
FRL	49	195
FRL	50	199
FRL	51	208
FRL	52	218
FRL	53	228
FRL	54	250
FRL	55	277
FRL	56	308
FRL	57	279
FRL	58	294
FRL	59	311
FRL	60	313
FRL	61	325
FRL	62	347
FRL	63	318
FRL	64	385
FRL	65	374
FRL	66	398
FRL	67	440
FRL	68	446
FRL	69	461
FRL	70	441
FRL	71	454
FRL	72	512
FRL	73	519
FRL	74	550
FRL	75	587
FRL	76	621
FRL	77	623
FRL	78	748
FRL	79	786
FRL	80	909
FRL	81	956
FRL	82	1096
FRL	83	1313
FRL	84	1687
FRL	85	2470
FRL	86	4671
FRL	87	11000
FRL	88	952243
# Read lengths - last fragments. Use `grep ^LRL | cut -f 2-` to extract this part. The columns are: read length, count
LRL	1	262
LRL	2	229
LRL	3	213
LRL	4	202
LRL	5	214
LRL	6	187
LRL	7	161
LRL	8	196
LRL	9	183
LRL	10	224
LRL	11	183
LRL	12	216
LRL	13	189
LRL	14	203
LRL	15	241
LRL	16	187
LRL	17	194
LRL	18	229
LRL	19	234
LRL	20	205
LRL	21	201
LRL	22	251
LRL	23	234
LRL	24	239
LRL	25	270
LRL	26	291
LRL	27	297
LRL	28	262
LRL	29	290
LRL	30	296
LRL	31	312
LRL	32	326
LRL	33	292
LRL	34	367
LRL	35	384
LRL	36	389
LRL	37	370
LRL	38	429
LRL	39	410
LRL	40	418
LRL	41	409
LRL	42	460
LRL	43	450
LRL	44	432
LRL	45	468
LRL	46	458
LRL	47	479
LRL	48	477
LRL	49	507
LRL	50	473
LRL	51	516
LRL	52	538
LRL	53	522
LRL	54	506
LRL	55	556
LRL	56	545
LRL	57	556
LRL	58	591
LRL	59	576
LRL	60	547
LRL	61	562
LRL	62	606
LRL	63	623
LRL	64	635
LRL	65	685
LRL	66	730
LRL	67	648
LRL	68	689
LRL	69	720
LRL	70	707
LRL	71	733
LRL	72	854
LRL	73	760
LRL	74	787
LRL	75	821
LRL	76	886
LRL	77	891
LRL	78	1037
LRL	79	1105
LRL	80	1137
LRL	81	1378
LRL	82	1445
LRL	83	1615
LRL	84	2162
LRL	85	2911
LRL	86	4852
LRL	87	12370
LRL	88	929280
# Mapping qualities for reads !(UNMAP|SECOND|SUPPL|QCFAIL|DUP). Use `grep ^MAPQ | cut -f 2-` to extract this part. The columns are: mapq, count
MAPQ	0	2648
MAPQ	1	213518
MAPQ	2	714
MAPQ	3	768
MAPQ	4	61
MAPQ	5	35
MAPQ	6	56605
MAPQ	7	994
MAPQ	8	813
MAPQ	11	584
MAPQ	12	7001
MAPQ	14	175
MAPQ	15	430
MAPQ	16	119
MAPQ	17	4149
MAPQ	18	3894
MAPQ	21	3112
MAPQ	22	2189
MAPQ	23	1723
MAPQ	24	2226
MAPQ	25	2621
MAPQ	26	1392
MAPQ	27	733
MAPQ	30	35101
MAPQ	31	19251
MAPQ	32	17614
MAPQ	33	130
MAPQ	34	14753
MAPQ	35	13233
MAPQ	36	11526
MAPQ	37	8522
MAPQ	38	6194
MAPQ	39	2275
MAPQ	40	3930
MAPQ	42	1541827
# Indel distribution. Use `grep ^ID | cut -f 2-` to extract this part. The columns are: length, number of insertions, number of deletions
ID	1	3739	4350
ID	2	1442	891
ID	3	1187	503
ID	4	732	337
ID	5	413	78
ID	6	309	92
ID	7	198	32
ID	8	90	34
ID	9	129	33
ID	10	75	22
ID	11	64	10
ID	12	45	13
ID	13	13	14
ID	14	14	5
ID	15	7	7
ID	16	5	1
# Indels per cycle. Use `grep ^IC | cut -f 2-` to extract this part. The columns are: cycle, number of insertions (fwd), .. (rev) , number of deletions (fwd), .. (rev)
IC	2	10	10	5	7
IC	3	12	16	14	14
IC	4	12	32	35	38
IC	5	51	209	42	37
IC	6	38	98	30	45
IC	7	40	64	31	35
IC	8	33	49	36	44
IC	9	31	47	40	37
IC	10	34	46	33	42
IC	11	34	54	33	42
IC	12	33	28	38	29
IC	13	25	33	35	42
IC	14	31	33	25	39
IC	15	22	41	28	39
IC	16	23	32	37	45
IC	17	32	26	46	41
IC	18	27	26	33	31
IC	19	17	33	52	44
IC	20	26	27	50	31
IC	21	27	20	43	49
IC	22	36	32	42	39
IC	23	17	31	46	37
IC	24	23	20	37	38
IC	25	37	23	45	39
IC	26	19	29	32	38
IC	27	27	21	46	40
IC	28	32	30	35	55
IC	29	15	30	39	37
IC	30	23	20	41	34
IC	31	17	30	41	50
IC	32	19	23	32	42
IC	33	17	30	41	43
IC	34	22	22	44	39
IC	35	19	21	40	34
IC	36	18	20	32	33
IC	37	15	38	44	35
IC	38	24	28	31	35
IC	39	27	23	36	27
IC	40	34	19	27	37
IC	41	25	24	37	53
IC	42	19	17	48	48
IC	43	25	15	32	35
IC	44	33	23	44	35
IC	45	16	18	42	39
IC	46	28	24	36	36
IC	47	31	26	36	27
IC	48	23	20	36	28
IC	49	28	16	40	40
IC	50	22	26	27	25
IC	51	25	24	33	26
IC	52	22	16	43	30
IC	53	28	17	31	51
IC	54	24	22	30	30
IC	55	26	24	31	38
IC	56	19	24	31	32
IC	57	25	23	29	37
IC	58	28	20	36	26
IC	59	22	25	36	33
IC	60	19	27	32	37
IC	61	17	24	26	29
IC	62	21	17	35	22
IC	63	25	20	27	34
IC	64	27	17	39	27
IC	65	21	23	33	35
IC	66	22	15	37	35
IC	67	27	18	31	36
IC	68	22	23	28	33
IC	69	33	11	35	31
IC	70	31	36	31	36
IC	71	49	39	38	27
IC	72	49	43	44	35
IC	73	66	71	36	35
IC	74	70	65	28	35
IC	75	91	93	37	41
IC	76	122	111	41	35
IC	77	128	124	35	44
IC	78	181	162	56	42
IC	79	221	197	47	50
IC	80	204	219	48	36
IC	81	241	293	65	63
IC	82	312	315	79	78
IC	83	293	262	100	128
IC	84	280	280	79	79
IC	85	42	29	9	8
IC	86	10	11	5	3
IC	87	3	4	0	0
# Coverage distribution. Use `grep ^COV | cut -f 2-` to extract this part.
COV	[1-1]	1	32732467
COV	[2-2]	2	15359543
COV	[3-3]	3	7950839
COV	[4-4]	4	4933243
COV	[5-5]	5	3063074
COV	[6-6]	6	1923909
COV	[7-7]	7	1218481
COV	[8-8]	8	781558
COV	[9-9]	9	504549
COV	[10-10]	10	334718
COV	[11-11]	11	229607
COV	[12-12]	12	160515
COV	[13-13]	13	115426
COV	[14-14]	14	85303
COV	[15-15]	15	65314
COV	[16-16]	16	50718
COV	[17-17]	17	40705
COV	[18-18]	18	33331
COV	[19-19]	19	27282
COV	[20-20]	20	23405
COV	[21-21]	21	19619
COV	[22-22]	22	17107
COV	[23-23]	23	14405
COV	[24-24]	24	12879
COV	[25-25]	25	11399
COV	[26-26]	26	9587
COV	[27-27]	27	8553
COV	[28-28]	28	7653
COV	[29-29]	29	6412
COV	[30-30]	30	5597
COV	[31-31]	31	4897
COV	[32-32]	32	4431
COV	[33-33]	33	3979
COV	[34-34]	34	3837
COV	[35-35]	35	3428
COV	[36-36]	36	2954
COV	[37-37]	37	2646
COV	[38-38]	38	2243
COV	[39-39]	39	1906
COV	[40-40]	40	1831
COV	[41-41]	41	1684
COV	[42-42]	42	1438
COV	[43-43]	43	1352
COV	[44-44]	44	1210
COV	[45-45]	45	1100
COV	[46-46]	46	811
COV	[47-47]	47	771
COV	[48-48]	48	685
COV	[49-49]	49	636
COV	[50-50]	50	577
COV	[51-51]	51	492
COV	[52-52]	52	375
COV	[53-53]	53	408
COV	[54-54]	54	352
COV	[55-55]	55	326
COV	[56-56]	56	274
COV	[57-57]	57	229
COV	[58-58]	58	239
COV	[59-59]	59	196
COV	[60-60]	60	198
COV	[61-61]	61	195
COV	[62-62]	62	166
COV	[63-63]	63	172
COV	[64-64]	64	156
COV	[65-65]	65	127
COV	[66-66]	66	137
COV	[67-67]	67	124
COV	[68-68]	68	101
COV	[69-69]	69	110
COV	[70-70]	70	107
COV	[71-71]	71	102
COV	[72-72]	72	93
COV	[73-73]	73	86
COV	[74-74]	74	72
COV	[75-75]	75	72
COV	[76-76]	76	71
COV	[77-77]	77	52
COV	[78-78]	78	51
COV	[79-79]	79	48
COV	[80-80]	80	47
COV	[81-81]	81	36
COV	[82-82]	82	38
COV	[83-83]	83	36
COV	[84-84]	84	20
COV	[85-85]	85	28
COV	[86-86]	86	24
COV	[87-87]	87	34
COV	[88-88]	88	22
COV	[89-89]	89	25
COV	[90-90]	90	16
COV	[91-91]	91	16
COV	[92-92]	92	9
COV	[93-93]	93	9
COV	[94-94]	94	15
COV	[95-95]	95	12
COV	[96-96]	96	11
COV	[97-97]	97	9
COV	[98-98]	98	6
COV	[99-99]	99	9
COV	[100-100]	100	3
COV	[101-101]	101	4
COV	[102-102]	102	5
COV	[103-103]	103	4
# GC-depth. Use `grep ^GCD | cut -f 2-` to extract this part. The columns are: GC%, unique sequence percentiles, 10th, 25th, 50th, 75th and 90th depth percentile
GCD	0.0	0.003	0.000	0.000	0.000	0.000	0.000
GCD	0.6	0.004	0.122	0.122	0.122	0.122	0.122
GCD	22.0	0.006	0.017	0.017	0.017	0.017	0.017
GCD	23.0	0.007	0.009	0.009	0.009	0.009	0.009
GCD	25.0	0.009	0.009	0.009	0.009	0.009	0.009
GCD	30.0	0.016	0.009	0.022	0.070	0.287	0.392
GCD	31.0	0.071	0.009	0.009	0.057	0.168	0.259
GCD	32.0	0.420	0.009	0.009	0.017	0.104	0.244
GCD	33.0	1.611	0.009	0.009	0.017	0.113	0.246
GCD	34.0	4.169	0.009	0.009	0.017	0.122	0.243
GCD	35.0	8.509	0.009	0.009	0.026	0.122	0.270
GCD	36.0	14.625	0.009	0.009	0.026	0.139	0.270
GCD	37.0	21.930	0.009	0.009	0.026	0.131	0.270
